Date,open,close,high,low,volume,money
2022/4/12,4102.97,4179.97,4179.97,4075.8,14428568400,2.5283E+11
2022/4/13,4154.41,4139.74,4194.04,4139.74,12509748900,2.21281E+11
2022/4/14,4172.64,4191.57,4217.06,4155.55,12479131600,2.45994E+11
2022/4/15,4162.37,4188.75,4211.32,4152.97,12476226300,2.2623E+11
2022/4/18,4152.93,4166.38,4171.74,4119.99,11750461000,2.12855E+11
2022/4/19,4161.93,4134.9,4186.94,4115.42,11021747100,2.08571E+11
2022/4/20,4130.54,4070.79,4136.17,4060.5,11733165800,2.16537E+11
2022/4/21,4048.73,3995.83,4086.44,3978.37,13278382800,2.27027E+11
2022/4/22,3967.2,4013.25,4037.08,3953.72,12210181100,2.06372E+11
2022/4/25,3933.45,3814.91,3958.21,3814.91,16836450200,2.72889E+11
2022/4/26,3822.49,3784.12,3871.85,3773.9,15757761100,2.59626E+11
2022/4/27,3758.08,3895.54,3895.73,3757.09,17273404600,2.96924E+11
2022/4/28,3883.42,3921.11,3943.43,3873.58,15305658600,2.68502E+11
2022/4/29,3939.62,4016.24,4017.43,3898.57,17945837700,3.21415E+11
2022/5/5,3995.35,4010.21,4039.7,3988.93,15417071600,2.90538E+11
2022/5/6,3928.85,3908.82,3947.24,3902.05,12300555100,2.14825E+11
2022/5/9,3883.95,3877.44,3914.11,3854.94,9293669400,1.71757E+11
2022/5/10,3820.63,3919.87,3932.68,3808.57,13641691800,2.3906E+11
2022/5/11,3917.93,3976.42,4033.3,3916.52,16563225600,3.09295E+11
2022/5/12,3949.95,3958.74,3985.93,3935.59,11337606600,2.02029E+11
2022/5/13,3983.82,3988.6,4003.85,3957.14,10996835700,1.95727E+11
2022/5/16,4015,3956.54,4018.03,3947.75,11242529400,1.99718E+11
2022/5/17,3961.76,4005.89,4005.89,3955.1,10966145400,2.10118E+11
2022/5/18,4015.01,3991.91,4017.34,3964.75,10807423300,2.01801E+11
2022/5/19,3938.3,3999.6,3999.6,3933.75,11629342000,2.10207E+11
2022/5/20,4020.82,4077.6,4077.6,4020.82,14706917300,2.65609E+11
2022/5/23,4080.97,4053.98,4080.97,4029.08,13047781000,2.25982E+11
2022/5/24,4052.87,3959.15,4055.78,3959.15,14555433600,2.47713E+11
2022/5/25,3959.77,3983.18,3983.62,3946.81,10773401500,1.88701E+11
